t,phase,found,cx,cy,conf,cmd_vx,cmd_vy,cmd_vz,cmd_yawrate,vbx,vby,vd,roll_des,pitch_des,roll,pitch,yaw,roll_q,pitch_q,yaw_q,thrust,x,y,z
0.000,takeoff,1,325,176,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,0.00,0.000,0.000,-0.001,0.311,3.140,-0.001,0.388,0.000,0.314,0.00,0.00,0.00
0.016,takeoff,1,325,176,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.001,0.311,3.140,-0.001,0.388,0.000,0.315,-0.00,0.00,0.02
0.016,takeoff,1,325,176,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.001,0.311,3.140,-0.001,0.388,0.000,0.315,-0.00,0.00,0.02
0.016,takeoff,1,325,176,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.001,0.311,3.140,-0.001,0.388,0.000,0.315,-0.00,0.00,0.02
0.016,takeoff,1,325,176,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.001,0.311,3.140,-0.001,0.388,0.000,0.315,-0.00,0.00,0.02
0.032,takeoff,1,325,176,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.001,0.311,3.140,-0.001,0.388,0.000,0.315,-0.00,0.00,0.02
0.032,takeoff,1,325,176,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.001,0.311,3.140,-0.001,0.388,0.000,0.315,-0.00,0.00,0.02
0.032,takeoff,1,325,176,0.50,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.001,0.311,3.140,-0.001,0.388,0.000,0.315,-0.00,0.00,0.02
0.032,takeoff,1,325,176,0.50,0.00,0.00,-0.80,0.00,0.00,0.00,0.01,-0.000,-0.000,-0.000,0.311,3.140,-0.000,0.388,0.000,0.316,-0.00,0.00,0.02
0.032,takeoff,1,325,176,0.50,0.00,0.00,-0.80,0.00,0.00,0.00,0.01,-0.000,-0.000,-0.000,0.311,3.140,-0.000,0.388,0.000,0.316,-0.00,0.00,0.02
0.032,takeoff,1,325,176,0.50,0.00,0.00,-0.80,0.00,0.00,0.00,0.01,-0.000,-0.000,-0.000,0.311,3.140,-0.000,0.388,0.000,0.316,-0.00,0.00,0.02
0.032,takeoff,1,325,176,0.50,0.00,0.00,-0.80,0.00,0.00,0.00,0.01,-0.000,-0.000,-0.000,0.311,3.140,-0.000,0.388,0.000,0.316,-0.00,0.00,0.02
0.047,takeoff,1,325,176,0.50,0.00,0.00,-0.80,0.00,0.00,0.00,0.01,-0.000,-0.000,-0.000,0.311,3.140,-0.000,0.388,0.000,0.316,-0.00,0.00,0.02
0.047,takeoff,1,325,176,0.50,0.00,0.00,-0.80,0.00,0.00,0.00,0.00,-0.000,-0.000,-0.000,0.311,3.140,-0.000,0.388,0.000,0.316,-0.00,0.00,0.02
0.047,takeoff,1,325,176,0.50,0.00,0.00,-0.80,0.00,0.00,-0.00,0.00,0.000,-0.000,-0.000,0.311,3.140,-0.000,0.389,0.000,0.316,-0.00,0.00,0.02
0.047,takeoff,1,325,176,0.50,0.00,0.00,-0.80,0.00,0.00,-0.00,0.00,0.000,-0.000,-0.000,0.311,3.140,-0.000,0.389,0.000,0.316,-0.00,0.00,0.02
0.047,takeoff,1,325,176,0.50,0.00,0.00,-0.80,0.00,0.00,-0.00,0.00,0.000,-0.000,-0.000,0.310,3.140,-0.001,0.388,0.000,0.316,-0.00,0.00,0.02
0.047,takeoff,1,325,176,0.50,0.00,0.00,-0.80,0.00,0.00,-0.00,-0.01,0.000,-0.000,-0.000,0.310,3.140,-0.001,0.388,0.000,0.315,-0.00,0.00,0.02
0.063,takeoff,1,325,176,0.50,0.00,0.00,-0.80,0.00,0.00,-0.00,-0.01,0.000,-0.000,-0.000,0.310,3.140,-0.001,0.388,0.000,0.316,-0.00,0.00,0.02
0.063,takeoff,1,325,176,0.50,0.00,0.00,-0.80,0.00,0.01,-0.00,-0.01,0.000,-0.001,-0.000,0.308,3.140,-0.001,0.386,0.000,0.316,-0.00,0.00,0.02
0.063,takeoff,1,325,178,0.49,0.00,0.00,-0.80,0.00,0.01,-0.00,-0.01,0.000,-0.001,-0.000,0.308,3.140,-0.001,0.386,0.000,0.316,-0.00,0.00,0.02
0.063,takeoff,1,325,178,0.49,0.00,0.00,-0.80,0.00,0.01,-0.00,-0.04,0.000,-0.001,-0.000,0.308,3.140,-0.001,0.386,0.000,0.313,-0.00,0.00,0.02
0.063,takeoff,1,325,178,0.49,0.00,0.00,-0.80,0.00,0.01,-0.00,-0.04,0.000,-0.001,-0.000,0.308,3.140,-0.001,0.386,0.000,0.313,-0.00,0.00,0.02
0.063,takeoff,1,325,178,0.49,0.00,0.00,-0.80,0.00,0.01,-0.00,-0.04,0.000,-0.001,-0.000,0.304,3.140,-0.001,0.382,0.000,0.313,-0.00,0.00,0.02
0.078,takeoff,1,325,178,0.49,0.00,0.00,-0.80,0.00,0.02,-0.00,-0.04,0.000,-0.003,-0.000,0.304,3.140,-0.001,0.384,0.000,0.314,-0.00,0.00,0.02
0.078,takeoff,1,325,178,0.49,0.00,0.00,-0.80,0.00,0.02,-0.00,-0.06,0.000,-0.003,-0.000,0.304,3.140,-0.001,0.384,0.000,0.312,-0.00,0.00,0.02
0.078,takeoff,1,325,178,0.49,0.00,0.00,-0.80,0.00,0.02,-0.00,-0.06,0.000,-0.003,-0.000,0.292,3.140,-0.001,0.368,0.000,0.312,-0.00,0.00,0.02
0.078,takeoff,1,325,178,0.49,0.00,0.00,-0.80,0.00,0.02,-0.00,-0.06,0.000,-0.003,-0.000,0.292,3.140,-0.001,0.368,0.000,0.312,-0.00,0.00,0.02
0.078,takeoff,1,325,178,0.49,0.00,0.00,-0.80,0.00,0.02,-0.00,-0.06,0.000,-0.003,-0.000,0.292,3.140,-0.001,0.368,0.000,0.312,-0.00,0.00,0.02
0.078,takeoff,1,325,178,0.49,0.00,0.00,-0.80,0.00,0.02,-0.00,-0.09,0.000,-0.003,-0.000,0.292,3.140,-0.001,0.368,0.000,0.310,-0.00,0.00,0.02
0.094,takeoff,1,325,178,0.49,0.00,0.00,-0.80,0.00,0.05,-0.00,-0.09,0.000,-0.006,-0.001,0.284,3.140,-0.001,0.362,0.000,0.310,-0.00,0.00,0.02
0.094,takeoff,1,325,178,0.49,0.00,0.00,-0.80,0.00,0.05,-0.00,-0.09,0.000,-0.006,-0.001,0.284,3.140,-0.001,0.362,0.000,0.310,-0.00,0.00,0.02
0.094,takeoff,1,325,178,0.49,0.00,0.00,-0.80,0.00,0.05,-0.00,-0.09,0.000,-0.006,-0.001,0.284,3.140,-0.001,0.362,0.000,0.310,-0.00,0.00,0.02
0.094,takeoff,1,325,178,0.49,0.00,0.00,-0.80,0.00,0.05,-0.00,-0.10,0.000,-0.006,-0.000,0.274,3.140,-0.001,0.350,0.000,0.310,-0.00,0.00,0.02
0.094,takeoff,1,325,188,0.47,0.00,0.00,-0.80,0.00,0.05,-0.00,-0.10,0.000,-0.006,-0.000,0.274,3.140,-0.001,0.350,0.000,0.310,-0.00,0.00,0.02
0.094,takeoff,1,325,188,0.47,0.00,0.00,-0.80,0.00,0.08,-0.00,-0.10,0.000,-0.010,-0.000,0.274,3.140,-0.001,0.356,0.000,0.310,-0.00,0.00,0.02
0.110,takeoff,1,325,188,0.47,0.00,0.00,-0.80,0.00,0.08,-0.00,-0.10,0.000,-0.010,-0.000,0.265,3.140,-0.001,0.343,0.000,0.310,-0.00,0.00,0.02
0.110,takeoff,1,325,188,0.47,0.00,0.00,-0.80,0.00,0.08,-0.00,-0.11,0.000,-0.010,-0.000,0.265,3.140,-0.001,0.343,0.000,0.309,-0.00,0.00,0.02
0.110,takeoff,1,325,188,0.47,0.00,0.00,-0.80,0.00,0.08,-0.00,-0.11,0.000,-0.010,-0.000,0.265,3.140,-0.001,0.343,0.000,0.309,-0.00,0.00,0.02
0.110,takeoff,1,325,188,0.47,0.00,0.00,-0.80,0.00,0.08,-0.00,-0.11,0.000,-0.010,-0.000,0.265,3.140,-0.001,0.343,0.000,0.309,-0.00,0.00,0.02
0.110,takeoff,1,325,188,0.47,0.00,0.00,-0.80,0.00,0.12,-0.00,-0.11,0.000,-0.015,-0.000,0.246,3.140,-0.001,0.326,0.000,0.309,-0.00,0.00,0.02
0.110,takeoff,1,325,188,0.47,0.00,0.00,-0.80,0.00,0.12,-0.00,-0.11,0.000,-0.015,-0.000,0.246,3.140,-0.001,0.326,0.000,0.309,-0.00,0.00,0.02
0.125,takeoff,1,325,188,0.47,0.00,0.00,-0.80,0.00,0.12,-0.00,-0.12,0.000,-0.015,-0.000,0.246,3.140,-0.001,0.326,0.000,0.309,-0.01,0.00,0.02
0.125,takeoff,1,325,188,0.47,0.00,0.00,-0.80,0.00,0.12,-0.00,-0.12,0.000,-0.015,-0.000,0.238,3.140,-0.001,0.316,0.000,0.309,-0.01,0.00,0.02
0.125,takeoff,1,325,188,0.47,0.00,0.00,-0.80,0.00,0.12,-0.00,-0.12,0.000,-0.015,-0.000,0.238,3.140,-0.001,0.316,0.000,0.309,-0.01,0.00,0.02
0.125,takeoff,1,325,188,0.47,0.00,0.00,-0.80,0.00,0.16,-0.00,-0.14,0.000,-0.019,-0.000,0.238,3.140,-0.001,0.321,0.000,0.308,-0.01,0.00,0.01
0.141,takeoff,1,325,202,0.47,0.00,0.00,-0.80,0.00,0.16,-0.00,-0.14,0.000,-0.019,-0.000,0.231,3.140,-0.001,0.313,0.000,0.308,-0.01,0.00,0.01
0.141,takeoff,1,325,202,0.47,0.00,0.00,-0.80,0.00,0.16,-0.00,-0.14,0.000,-0.019,-0.000,0.231,3.140,-0.001,0.313,0.000,0.308,-0.01,0.00,0.01
0.141,takeoff,1,325,202,0.47,0.00,0.00,-0.80,0.00,0.19,-0.00,-0.15,0.000,-0.023,-0.000,0.220,3.140,-0.001,0.303,0.000,0.307,-0.01,0.00,0.01
0.141,takeoff,1,325,202,0.47,0.00,0.00,-0.80,0.00,0.19,-0.00,-0.15,0.000,-0.023,-0.000,0.220,3.140,-0.001,0.303,0.000,0.307,-0.01,0.00,0.01
0.141,takeoff,1,325,202,0.47,0.00,0.00,-0.80,0.00,0.19,-0.00,-0.17,0.000,-0.023,-0.000,0.214,3.140,-0.001,0.296,0.000,0.305,-0.01,0.00,0.01
0.157,takeoff,1,325,202,0.47,0.00,0.00,-0.80,0.00,0.19,-0.00,-0.17,0.000,-0.023,-0.000,0.214,3.140,-0.001,0.296,0.000,0.306,-0.01,0.00,0.01
0.157,takeoff,1,325,202,0.47,0.00,0.00,-0.80,0.00,0.19,-0.00,-0.17,0.000,-0.023,-0.000,0.214,3.140,-0.001,0.296,0.000,0.306,-0.01,0.00,0.01
0.157,takeoff,1,325,202,0.47,0.00,0.00,-0.80,0.00,0.22,-0.00,-0.17,0.000,-0.027,-0.000,0.214,3.140,-0.001,0.301,0.000,0.306,-0.01,0.00,0.01
0.157,takeoff,1,325,202,0.47,0.00,0.00,-0.80,0.00,0.22,-0.00,-0.17,0.000,-0.027,-0.000,0.209,3.140,-0.001,0.295,0.000,0.306,-0.01,0.00,0.01
0.157,takeoff,1,325,202,0.47,0.00,0.00,-0.80,0.00,0.22,-0.00,-0.19,0.000,-0.027,-0.000,0.209,3.140,-0.001,0.295,0.000,0.305,-0.02,0.00,0.01
0.157,takeoff,1,325,202,0.47,0.00,0.00,-0.80,0.00,0.22,-0.00,-0.19,0.000,-0.027,-0.000,0.209,3.140,-0.001,0.295,0.000,0.305,-0.02,0.00,0.01
0.172,takeoff,1,325,211,0.48,0.00,0.00,-0.80,0.00,0.22,-0.00,-0.19,0.000,-0.027,-0.000,0.209,3.140,-0.001,0.295,0.000,0.305,-0.02,0.00,0.01
0.172,takeoff,1,325,211,0.48,0.00,0.00,-0.80,0.00,0.25,-0.00,-0.19,0.000,-0.030,-0.000,0.204,3.140,-0.001,0.293,0.000,0.305,-0.02,0.00,0.01
0.172,takeoff,1,325,211,0.48,0.00,0.00,-0.80,0.00,0.25,-0.00,-0.21,0.000,-0.030,-0.000,0.204,3.140,-0.001,0.293,0.000,0.303,-0.02,0.00,0.01
0.172,takeoff,1,325,211,0.48,0.00,0.00,-0.80,0.00,0.25,-0.00,-0.21,0.000,-0.030,-0.000,0.204,3.140,-0.001,0.293,0.000,0.303,-0.02,0.00,0.01
0.172,takeoff,1,325,211,0.48,0.00,0.00,-0.80,0.00,0.25,-0.00,-0.21,0.000,-0.030,-0.000,0.194,3.140,-0.001,0.280,0.000,0.303,-0.02,0.00,0.01
0.172,takeoff,1,325,211,0.48,0.00,0.00,-0.80,0.00,0.25,-0.00,-0.21,0.000,-0.030,-0.000,0.194,3.140,-0.001,0.280,0.000,0.303,-0.02,0.00,0.01
0.188,takeoff,1,325,211,0.48,0.00,0.00,-0.80,0.00,0.25,-0.00,-0.23,0.000,-0.030,-0.000,0.194,3.140,-0.001,0.280,0.000,0.303,-0.02,0.00,0.00
0.188,takeoff,1,325,211,0.48,0.00,0.00,-0.80,0.00,0.28,-0.00,-0.23,0.000,-0.034,-0.000,0.194,3.140,-0.001,0.284,0.000,0.303,-0.02,0.00,0.00
0.188,takeoff,1,325,211,0.48,0.00,0.00,-0.80,0.00,0.28,-0.00,-0.23,0.000,-0.034,-0.000,0.188,3.140,-0.001,0.278,0.000,0.303,-0.02,0.00,0.00
0.188,takeoff,1,325,211,0.48,0.00,0.00,-0.80,0.00,0.28,-0.00,-0.23,0.000,-0.034,-0.000,0.188,3.140,-0.001,0.278,0.000,0.303,-0.02,0.00,0.00
0.188,takeoff,1,325,211,0.48,0.00,0.00,-0.80,0.00,0.28,-0.00,-0.23,0.000,-0.034,-0.000,0.188,3.140,-0.001,0.278,0.000,0.303,-0.02,0.00,0.00
0.188,takeoff,1,325,211,0.48,0.00,0.00,-0.80,0.00,0.28,-0.00,-0.25,0.000,-0.034,-0.000,0.183,3.140,-0.001,0.271,0.000,0.300,-0.03,0.00,0.00
0.188,takeoff,1,325,218,0.48,0.00,0.00,-0.80,0.00,0.28,-0.00,-0.25,0.000,-0.034,-0.000,0.183,3.140,-0.001,0.271,0.000,0.300,-0.03,0.00,0.00
0.203,takeoff,1,325,218,0.48,0.00,0.00,-0.80,0.00,0.30,-0.00,-0.25,0.000,-0.036,-0.000,0.183,3.140,-0.001,0.273,0.000,0.301,-0.03,0.00,0.00
0.203,takeoff,1,325,218,0.48,0.00,0.00,-0.80,0.00,0.30,-0.00,-0.25,0.000,-0.036,-0.000,0.183,3.140,-0.001,0.273,0.000,0.301,-0.03,0.00,0.00
0.203,takeoff,1,325,218,0.48,0.00,0.00,-0.80,0.00,0.30,-0.00,-0.27,0.000,-0.036,-0.000,0.177,3.140,-0.001,0.265,0.000,0.300,-0.03,0.00,-0.00
0.203,takeoff,1,325,218,0.48,0.00,0.00,-0.80,0.00,0.30,-0.00,-0.27,0.000,-0.036,-0.000,0.177,3.140,-0.001,0.265,0.000,0.300,-0.03,0.00,-0.00
0.203,takeoff,1,325,218,0.48,0.00,0.00,-0.80,0.00,0.30,-0.00,-0.27,0.000,-0.036,-0.000,0.177,3.140,-0.001,0.265,0.000,0.300,-0.03,0.00,-0.00
0.203,takeoff,1,325,218,0.48,0.00,0.00,-0.80,0.00,0.33,-0.00,-0.27,0.000,-0.039,-0.000,0.177,3.140,-0.001,0.270,0.000,0.300,-0.03,0.00,-0.00
0.219,takeoff,1,325,218,0.48,0.00,0.00,-0.80,0.00,0.33,-0.00,-0.30,0.000,-0.039,-0.000,0.167,3.140,-0.001,0.257,0.000,0.298,-0.03,0.00,-0.00
0.219,takeoff,1,325,218,0.48,0.00,0.00,-0.80,0.00,0.33,-0.00,-0.30,0.000,-0.039,-0.000,0.167,3.140,-0.001,0.257,0.000,0.298,-0.03,0.00,-0.00
0.219,takeoff,1,325,218,0.48,0.00,0.00,-0.80,0.00,0.33,-0.00,-0.30,0.000,-0.039,-0.000,0.167,3.140,-0.001,0.257,0.000,0.298,-0.03,0.00,-0.00
0.219,takeoff,1,325,218,0.48,0.00,0.00,-0.80,0.00,0.33,-0.00,-0.30,0.000,-0.039,-0.000,0.162,3.140,-0.001,0.251,0.000,0.298,-0.03,0.00,-0.00
