t,phase,found,cx,cy,conf,cmd_vx,cmd_vy,cmd_vz,cmd_yawrate,vbx,vby,vd,roll_des,pitch_des,roll,pitch,yaw,roll_q,pitch_q,yaw_q,thrust,x,y,z
0.000,takeoff,1,325,177,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.314,-0.00,-0.00,0.02
0.015,takeoff,1,325,177,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
0.015,takeoff,1,325,177,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
0.015,takeoff,1,325,177,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
0.015,takeoff,1,325,177,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
0.015,takeoff,1,325,177,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
0.015,takeoff,1,325,177,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
0.031,takeoff,1,325,177,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
0.031,takeoff,1,325,177,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
0.031,takeoff,1,325,177,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
0.031,takeoff,1,325,177,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
0.031,takeoff,1,325,177,0.51,0.00,0.00,-0.80,0.00,-0.00,-0.00,0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
0.031,takeoff,1,325,178,0.49,0.00,0.00,-0.80,0.00,-0.00,-0.00,0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
0.046,takeoff,1,325,178,0.49,0.00,0.00,-0.80,0.00,-0.00,-0.00,0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.316,-0.00,-0.00,0.02
0.046,takeoff,1,325,178,0.49,0.00,0.00,-0.80,0.00,-0.00,-0.00,0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.316,-0.00,-0.00,0.02
0.046,takeoff,1,325,178,0.49,0.00,0.00,-0.80,0.00,-0.00,-0.00,0.00,0.000,-0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.316,-0.00,-0.00,0.02
0.046,takeoff,1,325,178,0.49,0.00,0.00,-0.80,0.00,0.01,-0.00,0.00,0.000,-0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.316,-0.00,-0.00,0.02
0.046,takeoff,1,325,178,0.49,0.00,0.00,-0.80,0.00,0.01,-0.00,0.00,0.000,-0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.316,-0.00,-0.00,0.02
0.046,takeoff,1,325,178,0.49,0.00,0.00,-0.80,0.00,0.01,-0.00,0.00,0.000,-0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.316,-0.00,-0.00,0.02
0.046,takeoff,1,325,178,0.49,0.00,0.00,-0.80,0.00,0.01,-0.00,0.00,0.000,-0.000,-0.000,0.308,3.141,-0.000,0.386,0.000,0.316,-0.00,-0.00,0.02
0.062,takeoff,1,325,178,0.49,0.00,0.00,-0.80,0.00,0.01,-0.00,-0.02,0.000,-0.002,-0.000,0.308,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
0.062,takeoff,1,325,178,0.49,0.00,0.00,-0.80,0.00,0.01,-0.00,-0.02,0.000,-0.002,-0.000,0.308,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
0.062,takeoff,1,325,178,0.49,0.00,0.00,-0.80,0.00,0.01,-0.00,-0.02,0.000,-0.002,-0.000,0.308,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
0.062,takeoff,1,325,178,0.49,0.00,0.00,-0.80,0.00,0.01,-0.00,-0.02,0.000,-0.002,-0.000,0.305,3.141,-0.000,0.384,0.000,0.315,-0.00,-0.00,0.02
0.062,takeoff,1,325,178,0.49,0.00,0.00,-0.80,0.00,0.01,-0.00,-0.04,0.000,-0.003,-0.000,0.305,3.141,-0.000,0.385,0.000,0.314,-0.00,-0.00,0.02
0.062,takeoff,1,325,178,0.49,0.00,0.00,-0.80,0.00,0.01,-0.00,-0.04,0.000,-0.003,-0.000,0.305,3.141,-0.000,0.385,0.000,0.314,-0.00,-0.00,0.02
0.078,takeoff,1,325,178,0.49,0.00,0.00,-0.80,0.00,0.01,-0.00,-0.04,0.000,-0.003,-0.000,0.305,3.141,-0.000,0.385,0.000,0.314,-0.00,-0.00,0.02
0.078,takeoff,1,325,181,0.48,0.00,0.00,-0.80,0.00,0.01,-0.00,-0.04,0.000,-0.003,-0.000,0.300,3.141,-0.000,0.379,0.000,0.314,-0.00,-0.00,0.02
0.078,takeoff,1,325,181,0.48,0.00,0.00,-0.80,0.00,0.03,-0.00,-0.04,0.000,-0.003,-0.000,0.300,3.141,-0.000,0.379,0.000,0.314,-0.00,-0.00,0.02
0.078,takeoff,1,325,181,0.48,0.00,0.00,-0.80,0.00,0.03,-0.00,-0.07,0.000,-0.007,-0.000,0.300,3.141,-0.000,0.383,0.000,0.311,-0.00,-0.00,0.02
0.078,takeoff,1,325,181,0.48,0.00,0.00,-0.80,0.00,0.03,-0.00,-0.07,0.000,-0.007,-0.000,0.286,3.141,-0.000,0.365,0.000,0.311,-0.00,-0.00,0.02
0.078,takeoff,1,325,181,0.48,0.00,0.00,-0.80,0.00,0.03,-0.00,-0.07,0.000,-0.007,-0.000,0.286,3.141,-0.000,0.365,0.000,0.311,-0.00,-0.00,0.02
0.078,takeoff,1,325,181,0.48,0.00,0.00,-0.80,0.00,0.03,-0.00,-0.07,0.000,-0.007,-0.000,0.286,3.141,-0.000,0.365,0.000,0.311,-0.00,-0.00,0.02
0.093,takeoff,1,325,181,0.48,0.00,0.00,-0.80,0.00,0.03,-0.00,-0.10,0.000,-0.011,-0.000,0.286,3.141,-0.000,0.371,0.000,0.310,-0.00,-0.00,0.02
0.093,takeoff,1,325,181,0.48,0.00,0.00,-0.80,0.00,0.06,-0.00,-0.10,0.000,-0.011,-0.000,0.277,3.141,-0.000,0.359,0.000,0.310,-0.00,-0.00,0.02
0.093,takeoff,1,325,181,0.48,0.00,0.00,-0.80,0.00,0.06,-0.00,-0.10,0.000,-0.011,-0.000,0.277,3.141,-0.000,0.359,0.000,0.310,-0.00,-0.00,0.02
0.093,takeoff,1,325,181,0.48,0.00,0.00,-0.80,0.00,0.06,-0.00,-0.10,0.000,-0.011,-0.000,0.277,3.141,-0.000,0.359,0.000,0.310,-0.00,-0.00,0.02
0.093,takeoff,1,325,181,0.48,0.00,0.00,-0.80,0.00,0.06,-0.00,-0.10,0.000,-0.013,-0.000,0.267,3.141,-0.000,0.350,0.000,0.309,-0.00,-0.00,0.02
0.109,takeoff,1,325,181,0.48,0.00,0.00,-0.80,0.00,0.10,-0.00,-0.10,0.000,-0.013,-0.000,0.267,3.141,-0.000,0.350,0.000,0.310,-0.00,-0.00,0.02
0.109,takeoff,1,325,195,0.49,0.00,0.00,-0.80,0.00,0.10,-0.00,-0.10,0.000,-0.013,-0.000,0.267,3.141,-0.000,0.350,0.000,0.310,-0.00,-0.00,0.02
0.109,takeoff,1,325,195,0.49,0.00,0.00,-0.80,0.00,0.10,-0.00,-0.12,0.000,-0.018,-0.000,0.257,3.141,-0.000,0.344,0.000,0.309,-0.01,-0.00,0.02
0.109,takeoff,1,325,195,0.49,0.00,0.00,-0.80,0.00,0.10,-0.00,-0.12,0.000,-0.018,-0.000,0.257,3.141,-0.000,0.344,0.000,0.309,-0.01,-0.00,0.02
0.109,takeoff,1,325,195,0.49,0.00,0.00,-0.80,0.00,0.10,-0.00,-0.12,0.000,-0.018,-0.000,0.257,3.141,-0.000,0.344,0.000,0.309,-0.01,-0.00,0.02
0.109,takeoff,1,325,195,0.49,0.00,0.00,-0.80,0.00,0.13,-0.00,-0.12,0.000,-0.018,-0.000,0.240,3.141,-0.000,0.322,0.000,0.309,-0.01,-0.00,0.02
0.125,takeoff,1,325,195,0.49,0.00,0.00,-0.80,0.00,0.13,-0.00,-0.13,0.000,-0.020,-0.000,0.240,3.141,-0.000,0.325,0.000,0.309,-0.01,-0.00,0.01
0.125,takeoff,1,325,195,0.49,0.00,0.00,-0.80,0.00,0.13,-0.00,-0.13,0.000,-0.020,-0.000,0.240,3.141,-0.000,0.325,0.000,0.309,-0.01,-0.00,0.01
0.125,takeoff,1,325,195,0.49,0.00,0.00,-0.80,0.00,0.13,-0.00,-0.13,0.000,-0.020,-0.000,0.240,3.141,-0.000,0.325,0.000,0.309,-0.01,-0.00,0.01
0.125,takeoff,1,325,195,0.49,0.00,0.00,-0.80,0.00,0.13,-0.00,-0.13,0.000,-0.020,-0.000,0.233,3.141,-0.000,0.316,0.000,0.309,-0.01,-0.00,0.01
0.125,takeoff,1,325,195,0.49,0.00,0.00,-0.80,0.00,0.13,-0.00,-0.13,0.000,-0.020,-0.000,0.233,3.141,-0.000,0.316,0.000,0.309,-0.01,-0.00,0.01
0.125,takeoff,1,325,195,0.49,0.00,0.00,-0.80,0.00,0.17,-0.00,-0.15,0.000,-0.025,-0.000,0.233,3.141,-0.000,0.322,0.000,0.307,-0.01,0.00,0.01
0.125,takeoff,1,325,195,0.49,0.00,0.00,-0.80,0.00,0.17,-0.00,-0.15,0.000,-0.025,-0.000,0.233,3.141,-0.000,0.322,0.000,0.307,-0.01,0.00,0.01
0.140,takeoff,1,325,195,0.49,0.00,0.00,-0.80,0.00,0.17,-0.00,-0.15,0.000,-0.025,-0.000,0.226,3.141,-0.000,0.314,0.000,0.308,-0.01,0.00,0.01
0.140,takeoff,1,325,195,0.49,0.00,0.00,-0.80,0.00,0.17,-0.00,-0.15,0.000,-0.025,-0.000,0.226,3.141,-0.000,0.314,0.000,0.308,-0.01,0.00,0.01
0.140,takeoff,1,325,195,0.49,0.00,0.00,-0.80,0.00,0.17,-0.00,-0.15,0.000,-0.025,-0.000,0.226,3.141,-0.000,0.314,0.000,0.308,-0.01,0.00,0.01
0.140,takeoff,1,324,207,0.48,0.00,0.00,-0.80,0.00,0.17,-0.00,-0.16,0.000,-0.027,-0.000,0.220,3.141,-0.000,0.309,0.000,0.307,-0.01,0.00,0.01
0.140,takeoff,1,324,207,0.48,0.00,0.00,-0.80,0.00,0.20,-0.00,-0.16,0.000,-0.027,-0.000,0.220,3.141,-0.000,0.309,0.000,0.307,-0.01,0.00,0.01
0.140,takeoff,1,324,207,0.48,0.00,0.00,-0.80,0.00,0.20,-0.00,-0.16,0.000,-0.027,-0.000,0.220,3.141,-0.000,0.309,0.000,0.307,-0.01,0.00,0.01
0.156,takeoff,1,324,207,0.48,0.00,0.00,-0.80,0.00,0.20,-0.00,-0.16,0.000,-0.027,-0.000,0.220,3.141,-0.000,0.309,0.000,0.307,-0.01,0.00,0.01
0.156,takeoff,1,324,207,0.48,0.00,0.00,-0.80,0.00,0.20,-0.00,-0.18,0.000,-0.031,-0.000,0.210,3.141,-0.000,0.301,0.000,0.305,-0.01,0.00,0.01
0.156,takeoff,1,324,207,0.48,0.00,0.00,-0.80,0.00,0.20,-0.00,-0.18,0.000,-0.031,-0.000,0.210,3.141,-0.000,0.301,0.000,0.305,-0.01,0.00,0.01
0.156,takeoff,1,324,207,0.48,0.00,0.00,-0.80,0.00,0.20,-0.00,-0.18,0.000,-0.031,-0.000,0.210,3.141,-0.000,0.301,0.000,0.305,-0.01,0.00,0.01
0.156,takeoff,1,324,207,0.48,0.00,0.00,-0.80,0.00,0.23,-0.00,-0.18,0.000,-0.031,-0.000,0.210,3.141,-0.000,0.301,0.000,0.305,-0.01,0.00,0.01
0.156,takeoff,1,324,207,0.48,0.00,0.00,-0.80,0.00,0.23,-0.00,-0.18,0.000,-0.031,-0.000,0.205,3.141,-0.000,0.295,0.000,0.305,-0.01,0.00,0.01
0.156,takeoff,1,324,207,0.48,0.00,0.00,-0.80,0.00,0.23,-0.00,-0.20,0.000,-0.033,-0.000,0.205,3.141,-0.000,0.297,0.000,0.304,-0.02,0.00,0.01
0.171,takeoff,1,324,207,0.48,0.00,0.00,-0.80,0.00,0.23,-0.00,-0.20,0.000,-0.033,-0.000,0.205,3.141,-0.000,0.297,0.000,0.305,-0.02,0.00,0.01
0.171,takeoff,1,324,207,0.48,0.00,0.00,-0.80,0.00,0.23,-0.00,-0.20,0.000,-0.033,-0.000,0.199,3.141,-0.000,0.291,0.000,0.305,-0.02,0.00,0.01
