t,phase,found,cx,cy,conf,cmd_vx,cmd_vy,cmd_vz,cmd_yawrate,vbx,vby,vd,roll_des,pitch_des,roll,pitch,yaw,roll_q,pitch_q,yaw_q,thrust,x,y,z
0.000,takeoff,0,0,0,0.00,0.00,0.00,-0.80,0.00,0.00,0.00,0.00,0.000,0.000,-0.001,-0.000,-0.618,-0.001,-0.000,0.000,0.314,0.00,0.00,0.00
0.016,takeoff,0,0,0,0.00,0.00,0.00,-0.80,0.00,-0.02,-0.37,-0.00,0.012,0.043,-0.001,-0.000,-0.614,-0.016,-0.054,0.000,0.314,-24.49,-15.00,-1.17
0.016,takeoff,0,0,0,0.00,0.00,0.00,-0.80,0.00,-0.02,-0.37,-0.00,0.012,0.043,-0.001,-0.000,-0.614,-0.016,-0.054,0.000,0.314,-24.49,-15.00,-1.17
0.016,takeoff,0,0,0,0.00,0.00,0.00,-0.80,0.00,-0.02,-0.37,-0.00,0.012,0.043,-0.001,-0.000,-0.614,-0.016,-0.054,0.000,0.314,-24.49,-15.00,-1.17
0.016,takeoff,0,0,0,0.00,0.00,0.00,-0.80,0.00,-0.02,-0.37,-0.00,0.012,0.043,-0.001,-0.000,-0.614,-0.016,-0.054,0.000,0.314,-24.49,-15.00,-1.17
0.016,takeoff,0,0,0,0.00,0.00,0.00,-0.80,0.00,-0.02,-0.37,-0.00,0.012,0.043,-0.001,-0.000,-0.612,-0.016,-0.054,0.000,0.314,-24.49,-15.00,-1.17
0.031,takeoff,0,0,0,0.00,0.00,0.00,-0.80,0.00,-0.02,-0.37,-0.00,0.012,0.043,-0.001,-0.000,-0.612,-0.016,-0.054,0.000,0.315,-24.49,-15.00,-1.17
0.031,takeoff,0,0,0,0.00,0.00,0.00,-0.80,0.00,-0.02,-0.37,-0.00,0.012,0.043,-0.001,-0.000,-0.612,-0.016,-0.054,0.000,0.315,-24.49,-15.00,-1.17
0.031,takeoff,0,0,0,0.00,0.00,0.00,-0.80,0.00,-0.02,-0.37,-0.01,0.012,0.043,-0.001,-0.000,-0.612,-0.016,-0.054,0.000,0.315,-24.49,-15.01,-1.17
0.031,takeoff,0,0,0,0.00,0.00,0.00,-0.80,0.00,-0.02,-0.37,-0.01,0.012,0.043,-0.001,0.000,-0.610,-0.016,-0.053,0.000,0.315,-24.49,-15.01,-1.17
0.031,takeoff,0,0,0,0.00,0.00,0.00,-0.80,0.00,-0.02,-0.37,-0.01,0.012,0.043,-0.001,0.000,-0.610,-0.016,-0.053,0.000,0.315,-24.49,-15.01,-1.17
0.047,takeoff,0,0,0,0.00,0.00,0.00,-0.80,0.00,-0.03,-0.37,-0.01,0.012,0.043,-0.001,0.000,-0.610,-0.016,-0.053,0.000,0.315,-24.49,-15.01,-1.17
