t,phase,found,cx,cy,conf,cmd_vx,cmd_vy,cmd_vz,cmd_yawrate,vbx,vby,vd,roll_des,pitch_des,roll,pitch,yaw,roll_q,pitch_q,yaw_q,thrust,x,y,z
0.015,takeoff,1,326,176,0.48,0.00,0.00,-0.80,0.00,0.00,0.00,0.00,-0.000,-0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.315,0.00,0.00,0.00
0.015,takeoff,1,326,176,0.48,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,-0.000,-0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.015,takeoff,1,326,176,0.48,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,-0.000,-0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.031,takeoff,1,326,176,0.48,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,-0.000,-0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.031,takeoff,1,326,176,0.48,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,-0.000,-0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.031,takeoff,1,326,176,0.48,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,-0.000,-0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.031,takeoff,1,326,176,0.48,0.00,0.00,-0.80,0.00,0.00,0.00,0.01,0.000,0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.316,-0.00,0.00,0.02
0.031,takeoff,1,326,176,0.48,0.00,0.00,-0.80,0.00,-0.00,0.00,0.01,0.000,0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.316,-0.00,0.00,0.02
0.047,takeoff,1,326,176,0.48,0.00,0.00,-0.80,0.00,-0.00,0.00,0.01,0.000,0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.317,-0.00,0.00,0.02
0.047,takeoff,1,326,176,0.48,0.00,0.00,-0.80,0.00,-0.00,0.00,0.00,0.000,-0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.316,-0.00,0.00,0.02
0.047,takeoff,1,326,176,0.48,0.00,0.00,-0.80,0.00,0.00,0.00,0.00,0.000,-0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.316,-0.00,0.00,0.02
0.047,takeoff,1,326,176,0.48,0.00,0.00,-0.80,0.00,0.00,0.00,0.00,0.000,-0.000,0.000,0.310,-3.141,0.000,0.388,0.000,0.316,-0.00,0.00,0.02
0.062,takeoff,1,325,176,0.50,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,-0.001,0.000,0.310,-3.141,0.000,0.389,0.000,0.316,-0.00,0.00,0.02
0.062,takeoff,1,325,176,0.50,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,-0.001,0.000,0.310,-3.141,0.000,0.389,0.000,0.316,-0.00,0.00,0.02
0.062,takeoff,1,325,176,0.50,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,-0.001,0.000,0.309,-3.141,0.000,0.387,0.000,0.316,-0.00,0.00,0.02
0.062,takeoff,1,325,176,0.50,0.00,0.00,-0.80,0.00,0.01,0.00,-0.00,0.000,-0.001,0.000,0.309,-3.141,0.000,0.387,0.000,0.316,-0.00,0.00,0.02
0.062,takeoff,1,325,176,0.50,0.00,0.00,-0.80,0.00,0.01,0.00,-0.03,0.000,-0.003,0.000,0.309,-3.141,0.000,0.390,0.000,0.314,-0.00,0.00,0.02
0.062,takeoff,1,325,176,0.50,0.00,0.00,-0.80,0.00,0.01,0.00,-0.03,0.000,-0.003,0.000,0.301,-3.141,0.000,0.380,0.000,0.314,-0.00,0.00,0.02
0.078,takeoff,1,325,176,0.50,0.00,0.00,-0.80,0.00,0.01,0.00,-0.03,0.000,-0.003,0.000,0.301,-3.141,0.000,0.380,0.000,0.315,-0.00,0.00,0.02
0.078,takeoff,1,325,176,0.50,0.00,0.00,-0.80,0.00,0.01,0.00,-0.03,0.000,-0.003,0.000,0.301,-3.141,0.000,0.380,0.000,0.315,-0.00,0.00,0.02
0.078,takeoff,1,325,176,0.50,0.00,0.00,-0.80,0.00,0.03,0.00,-0.07,0.000,-0.006,0.000,0.295,-3.141,0.000,0.377,0.000,0.312,-0.00,0.00,0.02
0.078,takeoff,1,325,176,0.50,0.00,0.00,-0.80,0.00,0.03,0.00,-0.07,0.000,-0.006,0.000,0.295,-3.141,0.000,0.377,0.000,0.312,-0.00,0.00,0.02
0.078,takeoff,1,325,176,0.50,0.00,0.00,-0.80,0.00,0.03,0.00,-0.07,0.000,-0.006,0.000,0.295,-3.141,0.000,0.377,0.000,0.312,-0.00,0.00,0.02
0.078,takeoff,1,325,176,0.50,0.00,0.00,-0.80,0.00,0.03,0.00,-0.07,0.000,-0.006,0.000,0.295,-3.141,0.000,0.377,0.000,0.312,-0.00,0.00,0.02
0.093,takeoff,1,325,176,0.50,0.00,0.00,-0.80,0.00,0.03,0.00,-0.08,0.000,-0.008,0.000,0.288,-3.141,0.000,0.370,0.000,0.311,-0.00,0.00,0.02
0.093,takeoff,1,325,184,0.49,0.00,0.00,-0.80,0.00,0.03,0.00,-0.08,0.000,-0.008,0.000,0.288,-3.141,0.000,0.370,0.000,0.311,-0.00,0.00,0.02
0.093,takeoff,1,325,184,0.49,0.00,0.00,-0.80,0.00,0.06,0.00,-0.08,0.000,-0.008,0.000,0.288,-3.141,0.000,0.370,0.000,0.311,-0.00,0.00,0.02
0.093,takeoff,1,325,184,0.49,0.00,0.00,-0.80,0.00,0.06,0.00,-0.08,0.000,-0.008,0.000,0.288,-3.141,0.000,0.370,0.000,0.311,-0.00,0.00,0.02
0.093,takeoff,1,325,184,0.49,0.00,0.00,-0.80,0.00,0.06,0.00,-0.08,0.000,-0.008,0.000,0.279,-3.141,0.000,0.359,0.000,0.311,-0.00,0.00,0.02
0.093,takeoff,1,325,184,0.49,0.00,0.00,-0.80,0.00,0.06,0.00,-0.10,0.001,-0.013,0.000,0.279,-3.141,-0.000,0.365,0.000,0.309,-0.00,0.00,0.02
0.093,takeoff,1,325,184,0.49,0.00,0.00,-0.80,0.00,0.06,0.00,-0.10,0.001,-0.013,0.000,0.279,-3.141,-0.000,0.365,0.000,0.309,-0.00,0.00,0.02
0.109,takeoff,1,325,184,0.49,0.00,0.00,-0.80,0.00,0.06,0.00,-0.10,0.001,-0.013,0.000,0.260,-3.141,-0.000,0.341,0.000,0.310,-0.00,0.00,0.02
0.109,takeoff,1,325,184,0.49,0.00,0.00,-0.80,0.00,0.09,0.00,-0.10,0.001,-0.013,0.000,0.260,-3.141,-0.000,0.341,0.000,0.310,-0.00,0.00,0.02
0.109,takeoff,1,325,184,0.49,0.00,0.00,-0.80,0.00,0.09,0.00,-0.11,0.001,-0.015,0.000,0.260,-3.141,-0.000,0.344,0.000,0.310,-0.00,-0.00,0.02
0.109,takeoff,1,325,184,0.49,0.00,0.00,-0.80,0.00,0.09,0.00,-0.11,0.001,-0.015,0.000,0.260,-3.141,-0.000,0.344,0.000,0.310,-0.00,-0.00,0.02
0.109,takeoff,1,325,184,0.49,0.00,0.00,-0.80,0.00,0.09,0.00,-0.11,0.001,-0.015,0.000,0.250,-3.141,-0.000,0.332,0.000,0.310,-0.00,-0.00,0.02
0.125,takeoff,1,325,184,0.49,0.00,0.00,-0.80,0.00,0.13,0.00,-0.12,0.001,-0.020,0.000,0.250,-3.141,-0.000,0.338,0.000,0.309,-0.01,-0.00,0.02
0.125,takeoff,1,325,184,0.49,0.00,0.00,-0.80,0.00,0.13,0.00,-0.12,0.001,-0.020,0.000,0.242,-3.141,-0.000,0.327,0.000,0.309,-0.01,-0.00,0.02
0.125,takeoff,1,325,198,0.52,0.00,0.00,-0.80,0.00,0.13,0.00,-0.12,0.001,-0.020,0.000,0.242,-3.141,-0.000,0.327,0.000,0.309,-0.01,-0.00,0.02
0.125,takeoff,1,325,198,0.52,0.00,0.00,-0.80,0.00,0.13,0.00,-0.12,0.001,-0.020,0.000,0.242,-3.141,-0.000,0.327,0.000,0.309,-0.01,-0.00,0.02
