t,phase,found,cx,cy,conf,cmd_vx,cmd_vy,cmd_vz,cmd_yawrate,vbx,vby,vd,roll_des,pitch_des,roll,pitch,yaw,roll_q,pitch_q,yaw_q,thrust,x,y,z
0.000,takeoff,1,324,176,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,0.00,0.000,-0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.314,0.00,0.00,0.00
0.015,takeoff,1,324,176,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,-0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.015,takeoff,1,324,176,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,-0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.015,takeoff,1,324,176,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,-0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.015,takeoff,1,324,176,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,-0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.031,takeoff,1,324,176,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,-0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.031,takeoff,1,324,176,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,-0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.031,takeoff,1,324,176,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,-0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.031,takeoff,1,324,176,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.031,takeoff,1,324,176,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.047,takeoff,1,324,176,0.51,0.00,0.00,-0.80,0.00,-0.00,0.00,0.00,0.000,0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.316,-0.00,0.00,0.02
0.047,takeoff,1,324,176,0.51,0.00,0.00,-0.80,0.00,-0.00,0.00,0.00,0.000,0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.316,-0.00,0.00,0.02
0.047,takeoff,1,324,176,0.51,0.00,0.00,-0.80,0.00,-0.00,0.00,-0.00,-0.000,-0.000,0.000,0.311,-3.141,0.000,0.389,0.000,0.316,-0.00,0.00,0.02
0.047,takeoff,1,324,176,0.51,0.00,0.00,-0.80,0.00,-0.00,0.00,-0.00,-0.000,-0.000,0.000,0.310,-3.141,0.000,0.389,0.000,0.316,-0.00,0.00,0.02
0.047,takeoff,1,324,176,0.51,0.00,0.00,-0.80,0.00,-0.00,0.00,-0.00,-0.000,-0.000,0.000,0.310,-3.141,0.000,0.389,0.000,0.316,-0.00,0.00,0.02
0.047,takeoff,1,324,176,0.51,0.00,0.00,-0.80,0.00,-0.00,0.00,-0.00,-0.000,-0.000,0.000,0.310,-3.141,0.000,0.389,0.000,0.316,-0.00,0.00,0.02
0.062,takeoff,1,324,176,0.51,0.00,0.00,-0.80,0.00,0.01,0.00,-0.01,-0.000,-0.001,0.000,0.309,-3.141,0.000,0.388,0.000,0.316,-0.00,0.00,0.02
0.062,takeoff,1,324,176,0.51,0.00,0.00,-0.80,0.00,0.01,0.00,-0.01,-0.000,-0.001,0.000,0.309,-3.141,0.000,0.388,0.000,0.316,-0.00,0.00,0.02
0.062,takeoff,1,324,176,0.51,0.00,0.00,-0.80,0.00,0.01,0.00,-0.01,-0.000,-0.001,0.000,0.309,-3.141,0.000,0.388,0.000,0.316,-0.00,0.00,0.02
0.062,takeoff,1,324,176,0.51,0.00,0.00,-0.80,0.00,0.01,0.00,-0.04,-0.000,-0.004,0.000,0.303,-3.141,0.000,0.383,0.000,0.313,-0.00,0.00,0.02
0.062,takeoff,1,324,176,0.51,0.00,0.00,-0.80,0.00,0.02,0.00,-0.04,-0.000,-0.004,0.000,0.303,-3.141,0.000,0.383,0.000,0.313,-0.00,0.00,0.02
0.062,takeoff,1,324,176,0.51,0.00,0.00,-0.80,0.00,0.02,0.00,-0.04,-0.000,-0.004,0.000,0.303,-3.141,0.000,0.383,0.000,0.313,-0.00,0.00,0.02
0.078,takeoff,1,324,176,0.51,0.00,0.00,-0.80,0.00,0.02,0.00,-0.04,-0.000,-0.004,0.000,0.303,-3.141,0.000,0.383,0.000,0.314,-0.00,0.00,0.02
0.078,takeoff,1,324,176,0.51,0.00,0.00,-0.80,0.00,0.02,0.00,-0.06,-0.000,-0.006,0.000,0.297,-3.141,0.000,0.378,0.000,0.312,-0.00,0.00,0.02
0.078,takeoff,1,324,176,0.51,0.00,0.00,-0.80,0.00,0.02,0.00,-0.06,-0.000,-0.006,0.000,0.297,-3.141,0.000,0.378,0.000,0.312,-0.00,0.00,0.02
0.078,takeoff,1,324,176,0.51,0.00,0.00,-0.80,0.00,0.02,0.00,-0.06,-0.000,-0.006,0.000,0.297,-3.141,0.000,0.378,0.000,0.312,-0.00,0.00,0.02
0.078,takeoff,1,324,176,0.51,0.00,0.00,-0.80,0.00,0.04,0.00,-0.06,-0.000,-0.006,0.000,0.290,-3.141,0.000,0.369,0.000,0.312,-0.00,0.00,0.02
0.078,takeoff,1,324,176,0.51,0.00,0.00,-0.80,0.00,0.04,0.00,-0.06,-0.000,-0.006,0.000,0.290,-3.141,0.000,0.369,0.000,0.312,-0.00,0.00,0.02
0.094,takeoff,1,324,186,0.51,0.00,0.00,-0.80,0.00,0.04,0.00,-0.09,-0.000,-0.010,0.000,0.290,-3.141,0.000,0.374,0.000,0.310,-0.00,0.00,0.02
0.094,takeoff,1,324,186,0.51,0.00,0.00,-0.80,0.00,0.04,0.00,-0.09,-0.000,-0.010,0.000,0.290,-3.141,0.000,0.374,0.000,0.310,-0.00,0.00,0.02
0.094,takeoff,1,324,186,0.51,0.00,0.00,-0.80,0.00,0.04,0.00,-0.09,-0.000,-0.010,-0.000,0.281,-3.141,0.000,0.363,0.000,0.310,-0.00,0.00,0.02
0.094,takeoff,1,324,186,0.51,0.00,0.00,-0.80,0.00,0.07,0.00,-0.09,-0.000,-0.010,-0.000,0.281,-3.141,0.000,0.363,0.000,0.310,-0.00,0.00,0.02
0.094,takeoff,1,324,186,0.51,0.00,0.00,-0.80,0.00,0.07,0.00,-0.10,-0.000,-0.012,-0.000,0.281,-3.141,0.000,0.366,0.000,0.310,-0.00,0.00,0.02
0.109,takeoff,1,324,186,0.51,0.00,0.00,-0.80,0.00,0.07,0.00,-0.10,-0.000,-0.012,0.000,0.262,-3.141,0.000,0.342,0.000,0.310,-0.00,0.00,0.02
0.109,takeoff,1,324,186,0.51,0.00,0.00,-0.80,0.00,0.07,0.00,-0.10,-0.000,-0.012,0.000,0.262,-3.141,0.000,0.342,0.000,0.310,-0.00,0.00,0.02
0.109,takeoff,1,324,186,0.51,0.00,0.00,-0.80,0.00,0.07,0.00,-0.11,-0.000,-0.017,0.000,0.262,-3.141,0.000,0.348,0.000,0.309,-0.00,0.00,0.02
0.109,takeoff,1,324,186,0.51,0.00,0.00,-0.80,0.00,0.11,0.00,-0.11,-0.000,-0.017,0.000,0.252,-3.141,0.000,0.336,0.000,0.309,-0.00,0.00,0.02
0.109,takeoff,1,324,186,0.51,0.00,0.00,-0.80,0.00,0.11,0.00,-0.11,-0.000,-0.017,0.000,0.252,-3.141,0.000,0.336,0.000,0.309,-0.00,0.00,0.02
0.109,takeoff,1,324,186,0.51,0.00,0.00,-0.80,0.00,0.11,0.00,-0.11,-0.000,-0.017,0.000,0.252,-3.141,0.000,0.336,0.000,0.309,-0.00,0.00,0.02
0.109,takeoff,1,324,186,0.51,0.00,0.00,-0.80,0.00,0.11,0.00,-0.11,-0.000,-0.017,0.000,0.252,-3.141,0.000,0.336,0.000,0.309,-0.00,0.00,0.02
0.125,takeoff,1,324,186,0.51,0.00,0.00,-0.80,0.00,0.11,0.00,-0.12,-0.000,-0.019,0.000,0.244,-3.141,0.000,0.329,0.000,0.309,-0.01,-0.00,0.02
0.125,takeoff,1,324,186,0.51,0.00,0.00,-0.80,0.00,0.11,0.00,-0.12,-0.000,-0.019,0.000,0.244,-3.141,0.000,0.329,0.000,0.309,-0.01,-0.00,0.02
0.125,takeoff,1,324,186,0.51,0.00,0.00,-0.80,0.00,0.14,0.00,-0.12,-0.000,-0.019,0.000,0.244,-3.141,0.000,0.329,0.000,0.309,-0.01,-0.00,0.02
0.125,takeoff,1,325,200,0.52,0.00,0.00,-0.80,0.00,0.14,0.00,-0.12,-0.000,-0.019,0.000,0.244,-3.141,0.000,0.329,0.000,0.309,-0.01,-0.00,0.02
0.125,takeoff,1,325,200,0.52,0.00,0.00,-0.80,0.00,0.14,0.00,-0.12,-0.000,-0.019,0.000,0.236,-3.141,0.000,0.319,0.000,0.309,-0.01,-0.00,0.02
0.125,takeoff,1,325,200,0.52,0.00,0.00,-0.80,0.00,0.14,0.00,-0.14,-0.000,-0.024,0.000,0.236,-3.141,0.000,0.325,0.000,0.308,-0.01,-0.00,0.01
0.125,takeoff,1,325,200,0.52,0.00,0.00,-0.80,0.00,0.14,0.00,-0.14,-0.000,-0.024,0.000,0.236,-3.141,0.000,0.325,0.000,0.308,-0.01,-0.00,0.01
0.140,takeoff,1,325,200,0.52,0.00,0.00,-0.80,0.00,0.14,0.00,-0.14,-0.000,-0.024,0.000,0.223,-3.141,0.000,0.309,0.000,0.308,-0.01,-0.00,0.01
