t,phase,found,cx,cy,wpx,hpx,conf,cmd_vx,cmd_vy,cmd_vz,cmd_yawrate,vbx,vby,vd,roll_des,pitch_des,roll,pitch,yaw,roll_q,pitch_q,yaw_q,thrust,x,y,z
0.000,takeoff,1,324,177,39,40,0.52,0.00,0.00,-0.80,0.00,0.00,0.00,0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.314,0.00,0.00,0.00
0.016,takeoff,1,324,177,39,40,0.52,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
0.016,takeoff,1,324,177,39,40,0.52,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
0.016,takeoff,1,324,177,39,40,0.52,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
0.016,takeoff,1,324,177,39,40,0.52,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
0.016,takeoff,1,324,177,39,40,0.52,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
0.032,takeoff,1,324,177,39,40,0.52,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
0.032,takeoff,1,324,177,39,40,0.52,0.00,0.00,-0.80,0.00,0.00,0.00,0.01,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.316,-0.00,-0.00,0.02
0.032,takeoff,1,324,177,39,40,0.52,0.00,0.00,-0.80,0.00,0.00,0.00,0.01,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.316,-0.00,-0.00,0.02
0.032,takeoff,1,324,177,39,40,0.52,0.00,0.00,-0.80,0.00,-0.00,-0.00,0.01,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.316,-0.00,-0.00,0.02
0.032,takeoff,1,324,177,39,40,0.52,0.00,0.00,-0.80,0.00,-0.00,-0.00,0.01,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.316,-0.00,-0.00,0.02
0.032,takeoff,1,324,177,39,40,0.52,0.00,0.00,-0.80,0.00,-0.00,-0.00,0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
0.047,takeoff,1,324,177,39,40,0.52,0.00,0.00,-0.80,0.00,-0.00,-0.00,0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.316,-0.00,-0.00,0.02
0.047,takeoff,1,324,177,39,40,0.52,0.00,0.00,-0.80,0.00,-0.00,-0.00,0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.316,-0.00,-0.00,0.02
0.047,takeoff,1,324,177,39,40,0.52,0.00,0.00,-0.80,0.00,0.00,-0.00,0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.316,-0.00,-0.00,0.02
0.047,takeoff,1,324,177,39,40,0.52,0.00,0.00,-0.80,0.00,0.00,-0.00,-0.00,0.000,-0.001,-0.000,0.311,3.141,-0.000,0.389,0.000,0.316,-0.00,-0.00,0.02
0.047,takeoff,1,324,177,39,40,0.52,0.00,0.00,-0.80,0.00,0.00,-0.00,-0.00,0.000,-0.001,-0.000,0.310,3.141,-0.000,0.389,0.000,0.316,-0.00,-0.00,0.02
0.047,takeoff,1,324,177,39,40,0.52,0.00,0.00,-0.80,0.00,0.00,-0.00,-0.00,0.000,-0.001,-0.000,0.310,3.141,-0.000,0.389,0.000,0.316,-0.00,-0.00,0.02
